Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length
Q9WYY1	UDGA_THEMA	reviewed	Type-4 uracil-DNA glycosylase (EC 3.2.2.27) (TMUDG)	tmung TM_0511 Tmari_0507	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	192
Q9WZR6	Q9WZR6_THEMA	unreviewed	Beta-N-acetylglucosaminidase (EC 3.2.1.52) (Hydrolase, putative)	nagA TM_0809	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	467
Q9X0S8	Q9X0S8_THEMA	unreviewed	Arabinogalactan endo-beta-1,4-galactanase (EC 3.2.1.89)	TM_1201	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	606
Q9XGM3	RPS4_ARATH	reviewed	Disease resistance protein RPS4 (Probable NAD(+) hydrolase RPS4) (EC 3.2.2.6) (Resistance to Pseudomonas syringae 4) (TIR-NBS-LRR class disease resistance protein)	RPS4 At5g45250 K9E15.1	Arabidopsis thaliana (Mouse-ear cress)	1217
Q9XJP3	FIBER_BPSFV	reviewed	Tail spike protein (TSP) (Endo-1,3-alpha-L-rhamnosidase) (EC 3.2.1.-) (Endorhamnosidase)		Shigella phage Sf6 (Shigella flexneri bacteriophage VI) (Bacteriophage SfVI)	623
Q9Y223	GLCNE_HUMAN	reviewed	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase (UDP-GlcNAc-2-epimerase/ManAc kinase) [Includes: UDP-N-acetylglucosamine 2-epimerase (hydrolyzing) (EC 3.2.1.183) (UDP-GlcNAc-2-epimerase) (Uridine diphosphate-N-acetylglucosamine-2-epimerase); N-acetylmannosamine kinase (EC 2.7.1.60) (ManAc kinase)]	GNE GLCNE	Homo sapiens (Human)	722
Q9Y3R4	NEUR2_HUMAN	reviewed	Sialidase-2 (EC 3.2.1.18) (Cytosolic sialidase) (N-acetyl-alpha-neuraminidase 2)	NEU2	Homo sapiens (Human)	380
Q9Y530	OARD1_HUMAN	reviewed	ADP-ribose glycohydrolase OARD1 (O-acetyl-ADP-ribose deacetylase 1) (EC 3.5.1.-) (Terminal ADP-ribose protein glycohydrolase 1) ([Protein ADP-ribosylglutamate] hydrolase OARD1) (EC 3.2.2.-)	OARD1 C6orf130 TARG1	Homo sapiens (Human)	152
Q9YGN6	SMUG1_XENLA	reviewed	Single-strand selective monofunctional uracil DNA glycosylase (EC 3.2.2.-)	smug1	Xenopus laevis (African clawed frog)	281
Q9Z2D7	MBD4_MOUSE	reviewed	Methyl-CpG-binding domain protein 4 (EC 3.2.2.-) (Methyl-CpG-binding protein MBD4) (Mismatch-specific DNA N-glycosylase)	Mbd4	Mus musculus (Mouse)	554
Q9ZB22	Q9ZB22_9MICC	unreviewed	Endo-beta-N-acetylglucosaminidase (EC 3.2.1.96)		Glutamicibacter protophormiae	645
Q9ZF13	Q9ZF13_THEFU	unreviewed	Beta-mannanase (EC 3.2.1.78)	man	Thermobifida fusca (Thermomonospora fusca)	279
Q9ZSN5	Q9ZSN5_ARATH	unreviewed	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6)		Arabidopsis thaliana (Mouse-ear cress)	1221
R4P256	R4P256_THEMA	unreviewed	Endoglucanase M (EC 3.2.1.4)	Tmari_1054	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)	331
T1WGN1	ENDS2_STRP9	reviewed	Endo-beta-N-acetylglucosaminidase EndoS2 (EC 3.2.1.96) (Endoglycosidase S2)	endoS2	Streptococcus pyogenes serotype M49	843
T2KM26	PLH36_FORAG	reviewed	Bifunctional sulfatase/alpha-L-rhamnosidase (P36_GH78/S1_25) [Includes: Ulvan-active sulfatase (EC 3.1.6.-) (Sulfatase family S1 subfamily 25 protein P36) (P36_S1_25); Alpha-L-rhamnosidase (EC 3.2.1.40) (Glycosyl hydrolase 78 family protein P36) (P36_GH78) (Polysaccharide utilization locus H protein P36) (PUL H protein P36)]	BN863_22250	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	1174
T2KN75	PLH17_FORAG	reviewed	Beta-glucuronidase (EC 3.2.1.31) (Glycosyl hydrolase 2 family protein P17) (P17_GH2) (Polysaccharide utilization locus H protein P17) (PUL H protein P17)	BN863_22060	Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1)	981
U5LUV7	U5LUV7_OSTFU	unreviewed	Chitinase (EC 3.2.1.14)		Ostrinia furnacalis (Asian corn borer)	987
V5J3M5	V5J3M5_9ENTR	unreviewed	Beta xylosidase (EC 3.2.1.37)		Enterobacter sp. enrichment culture clone nf1B6	536
V9M3A9	V9M3A9_RHIMI	unreviewed	N-acetyl-beta-D glucosaminidase (EC 3.2.1.52)	Nag	Rhizomucor miehei	858
W8PF21	W8PF21_9BACT	unreviewed	Endoglucanase (EC 3.2.1.4)		uncultured bacterium	577
W8R9V4	W8R9V4_GEOSE	unreviewed	Putative 6-phospho-beta-glucosidase (EC 3.2.1.86)	gan4C	Geobacillus stearothermophilus (Bacillus stearothermophilus)	447
X4Y2L4	LHYAL_HIRNI	reviewed	Hyaluronoglucuronidase (LHyal) (EC 3.2.1.36) (Hyaluronate 3-glycanohydrolase)		Hirudo nipponia (Korean blood-sucking leech)	489
